latitude,longitude
37.5697651,126.9877498
37.579183,126.996566
37.5826711,126.9983401
37.5685792,126.987613
37.586243,127.001744
37.5875502,126.9693634
37.5832955,126.9702626
37.5871907,126.9697701
37.5851131,126.9710436
37.5878519,126.9725135
37.5921866,126.9671261
37.5923353,126.9671906
37.5881285,126.9724613
37.5849663,126.9711546
37.5803257,126.97105
37.5805132,126.9713851
37.583091,126.9706209
37.5751355,126.9679907
37.5761834,126.9713244
37.5768666,126.972196
37.5776713,126.9722828
37.5755767,126.9787471
37.5722264,126.977332
37.5698453,126.9763838
37.570023,126.971248
37.570288,126.9731335
37.570365,126.975837
37.57359,126.9768571
37.5757446,126.9714842
37.5748553,126.9681889
37.5696876,126.9766885
37.5759017,126.982017
37.5760695,126.9839957
37.6046629,126.960888
37.6025022,126.9612198
37.6007325,126.9587223
37.5994133,126.9585702
37.598133,126.9617068
37.5955935,126.9636434
37.592738,126.9639574
37.5927861,126.9651419
37.5955575,126.9639775
37.5981476,126.9622153
37.5996163,126.9592405
37.6005524,126.9589342
37.602268,126.9614328
37.6047191,126.9612088
37.6115844,126.9563059
37.6100355,126.9564575
37.6086098,126.9562103
37.6083054,126.9564166
37.6069644,126.9585297
37.6070088,126.9591017
37.61148,126.956482
37.6043709,126.963535
37.6053223,126.9660432
37.6066073,126.9695663
37.6087663,126.9729985
37.6104295,126.9764662
37.610248,126.976652
37.60819,126.972797
37.606517,126.97
37.6057787,126.9676276
37.6045038,126.9648102
37.5732126,126.9594644
37.5682538,126.9645273
37.5711733,126.9615632
37.5775405,126.9885394
37.5692423,126.9802681
37.5686843,126.9849267
37.5684977,126.990644
37.5689116,126.9964597
37.5694512,126.9997973
37.5745325,126.9973383
37.5772728,126.9886349
37.5757849,126.9842425
37.5725223,126.9831555
37.5724858,126.9828258
37.5746105,126.9827201
37.5745,127.00223
37.572879,127.0021442
37.5705596,127.0021826
37.5698351,127.0028494
37.5717262,127.0084126
37.5740223,127.0062788
37.5744602,127.0063433
37.575873,127.000533
37.578043,127.002437
37.5811194,127.0022769
37.5810636,127.0019395
37.5781296,127.0019937
37.5761193,127.0006951
37.5788279,126.9968717
37.5759372,127.0032708
37.5857646,127.0007246
