latitude,longitude
37.557822,126.822611032
37.5457337666,126.837553992
37.5323019,126.843815
37.532117,126.838533
37.5401017,126.839074
37.5503201,126.831027
37.551248,126.8377005
37.5536597,126.8291829
37.562025,126.840249
37.5648029,126.8446617
37.5606951,126.8425361
37.530958,126.849217
37.5327032,126.8524559
37.5351277,126.855313
37.532147,126.85806
37.533599,126.860173
37.533979,126.861588
37.553469,126.8621938
37.5557076033,126.83610183
37.562539,126.8465439
37.5627589,126.8110312
37.550429,126.8610512
37.5803891,126.8108471
37.569417,126.810033
37.571228,126.808358
37.5481774,126.8500391
37.5403602,126.847465
37.5481125,126.85254
37.539273,126.843663
37.5576234,126.81324
37.558943,126.809662
37.5390734,126.8556963
37.5420258,126.8616338
37.547477,126.8577618
37.5632004,126.821544
37.5682828,126.8174657
37.575537,126.814673
37.5769308,126.818936
37.5555119,126.8146107
37.5527743821,126.823844
37.5736852,126.8046641
37.5701684,126.8395913
37.5529744,126.8677461
37.573989,126.8135129
37.5704783,126.822935
37.5548065,126.8712574
37.5687036382,126.807498848
37.5521222,126.872373
37.551473,126.875539
37.554404,126.8421907
37.547055,126.844554
37.5347268,126.8360595
37.543208,126.8459269
37.566675,126.8521896
37.5617187,126.8586437
37.561171,126.8644193
37.5703714,126.8474442
37.5492011,126.846004
37.5443631,126.8315655
37.5427125,126.8330272
37.5500087,126.849063
37.551822,126.8549196
37.559692,126.847951
37.561389,126.8480367
37.5603228,126.8500834
37.555424,126.859332
37.5608016256,126.853766
37.538834,126.847243
37.485089,126.959438
37.6597665,127.0575035
37.492162,126.959278
37.4756972,126.9512177
37.464018,126.925415
37.467048,126.9274239
37.4894968,126.9468782
37.489766,126.948211
37.489742,126.948219
37.4767532754,126.959865624
37.4738722,126.964244
37.472093,126.920157
37.4605336,126.9206196
37.469235,126.9166531
37.4692357,126.9166531
37.4762101,126.9153179
37.4769379,126.9178433
37.461733,126.916719
37.4624143,126.9180741
37.4850413,126.9221169
37.47838,126.9134662
37.4818537,126.912415
37.4821964,126.922468
37.4752921,126.9644352
37.4745654,126.972834
37.473601,126.9740756
37.4678163,126.940952
37.468012,126.940992
37.478773,126.929357
37.4779763,126.9126806
37.4771503,126.9272999
37.4719665271,126.912189332
37.473654,126.919802
37.473787,126.920254
37.493126,126.927367
37.4900948,126.9298977
37.4811753,126.9560764
37.481192,126.956066
37.4874654,126.9369662
37.485148,126.939675
37.4855674,126.941936
37.4768877,126.934115
37.4910197,126.9556171
37.4790524,126.963441
37.4820145169,126.902892885
37.4717141,126.937152
37.471726,126.937141
37.4863192,126.9151491
37.485256,126.947208
37.4854747,126.9492175
37.4740592665,126.932255608
37.4868591,126.9429033
37.486867,126.9429033
37.484844,126.914908
37.484114,126.9094507
37.477065816,126.940392857
37.4808067,126.9428902
37.4808067,126.942885
37.4897327,126.958378
37.489072,126.960085
37.4663999169,126.930942225
37.482788,126.9563611
37.4829254,126.9578363
37.482946,126.957826
37.4626215,126.9323353
37.462655,126.932314
37.491254,126.882454
37.486014,126.876892
37.499552,126.889366
37.487184,126.852844
37.488569,126.850052
37.489738,126.858371
37.490828,126.857951
37.482858,126.850545
37.484691,126.851926
37.500666,126.856994
37.498149,126.842328
37.495947,126.842799
37.489624,126.826515
37.5473351,126.9768814
37.490421,126.827693
37.497429,126.865972
37.502819,126.864935
37.506276,126.856799
37.497362,126.839734
37.499496,126.842183
37.497683,126.844997
37.504699,126.844375
37.504546,126.846112
37.504882,126.849058
37.488008,126.881845
37.490942,126.887203
37.486007,126.884695
37.495045,126.892311
37.496915,126.885806
37.488806,126.835182
37.491746,126.874349
37.492795,126.872928
37.489158,126.877571
37.485301,126.884074
37.488265,126.895119
37.484827,126.890596
37.484935,126.889278
37.494071,126.825993
37.494894,126.834389
37.49354,126.834631
37.495235,126.817374
37.497834,126.822241
37.505015,126.887942
37.486689,126.831364
37.489606,126.838711
37.492367,126.843062
37.506927,126.879493
37.50727,126.876494
37.512325,126.883397
37.47691,126.8241553
37.485482,126.823395
37.487735,126.825157
37.491162,126.842017
37.49164,126.842809
37.492319,126.834631
37.488971,126.835295
37.49681,126.829017
37.499261,126.86537
37.4838959,126.8410648
37.481404,126.837014
37.476016,126.891713
37.475776,126.890237
37.47232,126.893007
37.447427,126.916426
37.454828,126.897608
37.47812,126.896449
37.479638,126.905967
37.449855,126.907253
37.448573,126.904304
37.454644,126.904958
37.460455,126.902101
37.471725,126.908326
37.448853,126.903493
37.45895,126.906171
37.459687,126.909044
37.466715,126.908975
37.467721,126.907262
37.472999,126.905858
37.465793,126.907184
37.474613,126.904109
37.476876,126.907771
37.6486279,127.0834333
37.47709,126.90919
37.475454,126.909492
37.467249,126.890972
37.464453,126.893515
37.482621,126.884455
37.465514,126.900057
37.440234,126.907423
37.477391,126.902495
37.47686,126.900953
37.441816,126.908303
37.446647,126.905247
37.446718,126.908245
37.448229,126.900257
37.474777,126.899464
37.456392,126.901589
37.460122,126.900294
37.462974,126.90072
37.464258,126.900288
37.447009,126.899507
37.458229,126.896205
37.451672,126.916887
37.452434,126.914914
37.45465,126.912623
37.458595,126.888356
37.5060798,126.9535841
37.4932600531,126.936019646
37.5100908,126.9537363
37.5005994,126.9253563
37.4822359,126.9785565
37.4830324,126.9787548
37.4827683,126.9774988
37.4942206,126.9770792
37.4960102,126.9817887
37.5089070338,126.932975132
37.5105474,126.9485347
37.5082455,126.9433211
37.5095412,126.9477571
37.5069456,126.9512421
37.4886163,126.9651073
37.4851433,126.972394
37.4885888366,126.97206659
37.4844848,126.9758314
37.4882193,126.975172
37.4816149,126.9793688
37.4807693,126.9806795
37.5035024,126.9496786
