latitude,longitude
37.6048277433,126.9182205613
37.6168516666,126.9208162306
37.6153186659,126.9152012504
37.6181569891,126.9179051283
37.5993656852,126.9155036071
37.6215852170,126.9261705156
37.6205881488,126.9250096219
37.6181653234,126.9206595556
37.6011657617,126.9130330605
37.6343394313,126.9269974850
37.6174612776,126.9135955720
37.6156454826,126.9254333509
37.6445151287,126.9253301543
37.6170583127,126.9218595925
37.6179600371,126.9239370026
37.6171730992,126.9232223079
37.5870613985,126.9202122292
37.6200513506,126.9216731851
37.6076443975,126.9135929350
37.5934701761,126.9168434945
37.6419735832,126.9182267044
37.6171558669,126.9095736545
37.5853091604,126.9182956852
37.6135805510,126.9082312078
37.6073482470,126.9324541939
37.6115593135,126.9376446803
37.6123009903,126.9286072738
34.76074749,127.6568194
37.48360708,127.059715
37.4893117,127.0688124
37.47807861,127.0499559
37.5059169,127.0283077
37.5041284,127.0520308
37.5111526,127.025632
37.5170337,127.0375091
37.5137766,127.0422874424
37.4994391,127.0535637
37.50471783,127.055754
37.50320174,127.0531092
37.50406664,127.0596522
37.49571728,127.0686391
37.5139612,127.048401
37.51213153,127.046847
37.51566482,127.043345
37.5108204,127.055755
37.4753372,127.0486408
37.497325,127.044262
37.5019276,127.0267351
37.5028306,127.048825
37.4969468,127.0309047
37.4926193,127.0755689
37.5201056,127.056051
37.5151298,127.0606594
34.7546626,127.6564765
37.5018235,127.035849
37.5206195,127.043855
37.5226105,127.042187
37.5225416,127.046944
37.4799477,127.0480005
37.4765057,127.0493261
37.4998227,127.027409
37.5152193,127.0318073
37.5101538,127.042678
37.50685922,127.0257676
37.5105313,127.032098
37.5045291,127.0538023
37.49880596,127.058316
37.4895461,127.033329
37.4919609951,127.0570953149
37.5068062,127.0594495
37.50820685,127.062254
37.5116097,127.044926
37.52090959,127.0284222
37.52631186,127.0289891
37.5259514,127.0383732
37.50147603,127.0426899
37.4955369,127.0318129
37.505604,127.0354373
37.50112367,127.0403049
37.4946558,127.030034
37.5220301,127.0415161
37.5056037,127.0541831
37.50433183,127.0415199
37.5047589,127.0448202
37.55903448,126.9358934
37.58271266,126.9198566
35.20756582,128.5813257
35.20708342,128.5793079
35.20706533,128.5785181
35.19735789,128.5618500329
35.19358014,128.5613477
35.18129693,128.5582483
35.18187426,128.5586065
35.18041765,128.5570943
35.18211394,128.5562628
37.42871174,126.9931864
37.42698503,126.9919948
37.42828534,126.9925451
37.42313578,126.9929647
37.4211855,126.9912426
37.42437611,127.0081117
37.4290071,127.0033116
36.58358218,126.664294
36.59772276,126.6621144
36.576488,126.6594198
36.57527767,126.6602349
36.58129477,126.654817
36.59523094,126.6553819
36.59794848,126.6538797
36.610274,126.6637085
36.59988726,126.650908
36.60115166,126.652602
36.59986991,126.647223
36.60064427,126.647265
37.44691223,126.698983
37.4609806,126.6786917
37.4596368,126.6745957
37.4392674,126.6809754
37.43758933,126.6803976
37.46499002,126.6477172
37.46454015,126.6457916
37.46366532,126.6469516
37.46085256,126.6442198
37.45162092,126.6671353
37.45024751,126.6630016
37.4534149,126.6644824
37.45932019,126.6383925
37.4565983,126.6495944
37.44814624,126.6491202
37.45206064,126.6347457
37.4502468,126.6337787
37.46069164,126.6790884
37.46224757,126.681375
37.4628734,126.6805717
37.46086213,126.6842106
37.46379048,126.6809168
37.46312301,126.6820192
37.46658439,126.6795754
37.46636326,126.6820364
37.45721452,126.6944014
37.45966975,126.6885961
37.63482544,127.0220395
37.63303382,127.0243686
37.64135773,127.0296311
37.6307018,127.0168589
37.6335535,127.0217384
37.61745082,127.0219965
37.62603107,127.0257392
37.478149,126.962553
37.486889,126.924469
37.467752,126.932153
35.20941847,128.6887871
35.21262033,128.7016048
35.2036227,128.7049634
