latitude,longitude
37.48472219,126.9448623
37.49274898,126.9350922
37.47331235,126.9236363
37.4667325,126.9237165
37.46985456,126.9778824
37.45641695,126.9461288
37.46924978,126.9126727
37.48097851,126.916495
37.48021998,126.9158269
37.49183062,126.9362613
37.49202819,126.9402673
37.49312281,126.9453076
37.47472773,126.9493561
37.47469864,126.9482464
37.47521741,126.9515644
37.47535786,126.9510767
37.47646946,126.9696306
37.47648687,126.9701338
37.4746172,126.9766191
37.46829727,126.9452017
37.49132073,126.9410883
37.49027227,126.9429346
37.49017902,126.9433326
37.48232389,126.9133282
37.4825213,126.9129966
37.47312225,126.91242
37.46302346,126.9151922
37.46269776,126.9153715
37.48189041,126.9240662
37.46844625,126.9365586
37.47815974,126.9389661
37.49119516,126.9535998
37.48869889,126.9335906
37.46414404,126.9353063
37.47479894,126.9133708
37.47678062,126.9438504
37.4754572,126.9625381
37.46575933,126.9238244
37.46968859,126.9125745
37.4694056,126.9447193
37.46896435,126.9442291
37.46797618,126.9399623
37.47369949,126.9326583
37.47177181,126.9790536
37.49134873,126.9520835
37.48135937,126.9346588
37.49195145,126.9414535
37.46813193,126.9701989
37.46815615,126.9693536
37.48512642,126.9622429
37.48147121,126.9366716
37.48116875,126.9413438
37.47893843,126.9390237
37.48018588,126.9492618
37.47693819,126.9676934
37.47567532,126.9707322
37.48331417,126.9603182
37.48025556,126.9649666
37.45886082,126.917401
37.45822172,126.9214658
37.45926819,126.9222609
37.46764592,126.913497
37.46831315,126.9638012
37.48161001,126.9381183
37.47081228,126.9592343
37.46802993,126.945548
37.46832312,126.9454603
37.47959612,126.9375368
37.47525139,126.9764479
37.46786242,126.940353
37.47775617,126.9168432
37.47768841,126.9188197
37.47772853,126.9197603
37.48190677,126.9028852
37.47922047,126.9623883
37.48509822,126.9395461
37.46195671,126.9303319
37.48019649,126.9141403
37.47589054,126.9406859
37.47599585,126.9410376
37.47587787,126.9535853
37.47614016,126.9537496
37.47697373,126.9355708
37.48272379,126.93563
37.47404095,126.9621846
37.47250207,126.9404654
37.47268706,126.940696
37.46508382,126.9268657
37.4650273,126.9272175
37.47624854,126.9194839
37.47641056,126.9199238
37.48645833,126.9329445
37.4729871,126.9802197
37.47286864,126.9803893
37.48438305,126.9497668
37.48457844,126.949539
37.47395933,126.9673659
37.46667239,126.9470937
37.45853189,126.946999
37.45887887,126.947301
37.46685449,126.9443101
37.46499971,126.938472
37.46455265,126.9380981
37.46569065,126.9171947
37.46595976,126.91723
37.47739069,126.922718
37.47771547,126.9221625
37.46879472,126.9130441
37.46663318,126.9140531
37.46823737,126.9264493
37.46833633,126.9259133
37.46909557,126.969963
37.46331438,126.9272212
37.48890915,126.9381012
37.48935129,126.9379689
37.48929225,126.938343
37.48438674,126.9484749
37.48430156,126.9481866
37.46185796,126.9479584
37.4609092,126.9481996
37.45796926,126.9464133
37.45560656,126.9453963
37.47969721,126.9372032
37.4798336,126.9363697
37.48048489,126.9368633
37.47865536,126.9202411
37.47843186,126.9186446
37.48006474,126.9188778
37.46122913,126.9294463
37.47625089,126.9254312
37.48947201,126.9390212
37.4807547,126.9356599
37.46121816,126.924875
37.46136106,126.924922
37.48833012,126.9148808
37.48623469,126.9113587
37.45685298,126.9295683
37.47649685,126.9509435
37.46788994,126.9207614
37.48624049,126.9152719
37.47524952,126.9427937
37.45928016,126.9329815
37.46791457,126.942415
37.47641345,126.980133
37.47627275,126.9807871
37.46230362,126.9477881
37.46273998,126.9480346
37.4626973,126.948546
37.46221454,126.9485194
37.46473257,126.9275901
37.46405374,126.9275901
37.46939186,126.9259963
37.47351238,126.9247269
37.48481985,126.905947
37.47777622,126.9447741
37.47575066,126.9257524
37.47545839,126.9256939
37.48995297,126.9405815
37.49009773,126.9404468
37.47464617,126.9637102
37.47482758,126.9634234
37.47474442,126.9768983
37.47446087,126.9765527
37.46921408,126.9646514
37.48860748,126.925629
37.48864772,126.9259222
37.47348909,126.9641343
37.47447325,126.9611728
37.48483226,126.9207072
37.48507241,126.9204881
37.4696018,126.9236499
37.48046347,126.9491287
37.48063484,126.9401712
37.47661507,126.9332997
37.47727121,126.9493785
37.47695176,126.9493817
37.47984474,126.9593811
37.4798474,126.9598386
37.47351263,126.9126731
37.48996775,126.9342732
37.48838569,126.9429586
37.47566349,126.91484
37.48325208,126.9597224
37.47652335,126.9676827
37.47725749,126.9636574
37.4829696,126.9588399
37.47914921,126.9618488
37.47614513,126.9691611
37.46556777,126.9331702
37.46469588,126.9315369
37.46100702,126.9322949
37.47144923,126.9312522
37.47627005,126.9396876
37.4769122,126.9355224
37.47598183,126.9387483
37.47657627,126.9377913
37.47462974,126.9418547
37.47749692,126.9328241
37.47632048,126.9346501
37.47743135,126.9312079
37.479091,126.9324208
37.49182,126.9469266
37.48698336,126.9560607
37.48821956,126.9551448
37.48837014,126.953886
37.49221813,126.9489399
37.48798077,126.9257294
37.48879234,126.9224192
37.48433351,126.9242226
37.48299627,126.9172314
37.48817468,126.9191053
37.48520866,126.918771
37.48378568,126.9147304
37.48277113,126.9160023
37.48043463,126.9239334
37.47647138,126.9210903
37.47129643,126.9774811
37.47606021,126.9228542
37.47414354,126.9240184
37.46456947,126.9178741
37.47683779,126.9195178
37.48840273,126.9377754
37.47322886,126.9319328
37.4649816,126.9323812
37.48804329,126.9530985
37.49102472,126.9417893
37.48523353,126.9440941
37.48180511,126.9385332
37.48712185,126.9595164
37.49021815,126.9329143
37.48989387,126.9401342
37.48716389,126.9490801
37.48375179,126.9485466
37.47862396,126.9287992
37.47576071,126.9300956
37.48834406,126.9251323
37.48646785,126.9228296
37.48193969,126.9144758
37.48349185,126.9074101
37.48237553,126.9064016
37.47802167,126.9211626
37.47342469,126.9126695
37.47669067,126.9233491
37.47511671,126.9205265
37.46963916,126.9247846
37.46858182,126.9212556
37.45989999,126.9148689
37.46327738,126.9180206
37.4616289,126.915014
37.48415145,126.9331925
37.47824964,126.9313979
37.47780202,126.9367622
37.48187031,126.9253906
37.47485743,126.9373768
37.47259693,126.9374811
37.47262239,126.9367627
37.46560274,126.9309665
37.47077046,126.9288564
37.46883258,126.9346107
37.46605637,126.9400399
37.47047056,126.9389064
37.46773242,126.9380883
37.47524129,126.9612897
37.47447687,126.9600299
37.47570052,126.9526763
37.46930488,126.9231039
37.48471983,126.946777
37.48238221,126.9385023
37.47751689,126.948689
37.48200739,126.944028
37.47845481,126.9621065
37.48226788,126.9546551
37.48033513,126.9573685
37.47612944,126.9413609
37.46552166,126.9323473
37.4679931,126.9209594
37.4715517,126.9111352
37.4722574,126.9355812
37.48841505,126.9568683
37.47454506,126.9690151
37.48676635,126.9619035
37.49040266,126.9263328
37.48943309,126.931042
37.48875248,126.9428329
37.48516808,126.9445929
37.48496408,126.9547409
37.48506674,126.9457037
37.48865942,126.9581172
37.48130153,126.9580073
37.48019016,126.9602058
37.48522216,126.9531088
37.49082049,126.9597871
37.48044815,126.960871
37.48085306,126.9504558
37.47654129,126.9554785
